X.step.,meanI,SdI,meanS,SdS,meanE,SdE,meanR,SdR
127,0.01736,0.007433405020855626,0.60416,0.025300931659864693,0.00884,0.0043722688268080625,0.36964,0.024009147916439467
128,0.017,0.006703638975228609,0.6003999999999999,0.02563479777846624,0.00836,0.004114484122200101,0.37424,0.02533575355428106
129,0.017,0.006703638975228609,0.6003999999999999,0.02563479777846624,0.00836,0.004114484122200101,0.37424,0.02533575355428106
130,0.01672,0.00628259662943303,0.59584,0.026019898194282312,0.008320000000000001,0.005084751112645635,0.37912,0.025530006355067678
131,0.01672,0.00628259662943303,0.59584,0.026019898194282312,0.008320000000000001,0.005084751112645635,0.37912,0.025530006355067678
132,0.01652,0.005725845450450874,0.5916,0.025685698395037187,0.0088,0.004333071682315171,0.38308,0.02556531451248838
133,0.01652,0.005725845450450874,0.5916,0.025685698395037187,0.0088,0.004333071682315171,0.38308,0.02556531451248838
134,0.01716,0.006893830427214153,0.5874,0.026311322929220296,0.00844,0.005395235993779273,0.387,0.025699201925192868
135,0.01716,0.006893830427214153,0.5874,0.026311322929220296,0.00844,0.005395235993779273,0.387,0.025699201925192868
136,0.01716,0.006941034446224386,0.58328,0.025355464733203645,0.00832,0.00435861801726283,0.39124,0.025468315649858284
137,0.01716,0.006941034446224386,0.58328,0.025355464733203645,0.00832,0.00435861801726283,0.39124,0.025468315649858284
138,0.01676,0.007327777734798746,0.57856,0.02627030604298008,0.00884,0.0038138308985125415,0.39584,0.025300931659864676
139,0.01676,0.007327777734798746,0.57856,0.02627030604298008,0.00884,0.0038138308985125415,0.39584,0.025300931659864676
140,0.01712,0.006235644738607424,0.575,0.026227419831550476,0.008280000000000001,0.0039177252875324765,0.3996,0.025634797778466226
141,0.01712,0.006235644738607424,0.575,0.026227419831550476,0.008280000000000001,0.0039177252875324765,0.3996,0.025634797778466226
142,0.01728,0.006084574004507343,0.57028,0.026291955780723297,0.008280000000000001,0.0039177252875324765,0.40416,0.02601989819428232
143,0.01728,0.006084574004507343,0.57028,0.026291955780723297,0.008280000000000001,0.0039177252875324765,0.40416,0.02601989819428232
144,0.0166,0.005394630739571201,0.5662,0.026973153697855988,0.0088,0.004426266681379905,0.4084,0.025685698395037194
145,0.0166,0.005394630739571201,0.5662,0.026973153697855988,0.0088,0.004426266681379905,0.4084,0.025685698395037194
146,0.01712,0.005161236997749548,0.56204,0.027286806260872053,0.00824,0.003972147930738918,0.4126,0.026311322929220306
147,0.01712,0.005161236997749548,0.56204,0.027286806260872053,0.00824,0.003972147930738918,0.4126,0.026311322929220306
148,0.01708,0.0060367581514909,0.55816,0.027475673841804563,0.00804,0.0036920211819765156,0.41672,0.025355464733203662
149,0.01708,0.0060367581514909,0.55816,0.027475673841804563,0.00804,0.0036920211819765156,0.41672,0.025355464733203662
150,0.01652,0.0055374052716825,0.55408,0.027461171103347833,0.00796,0.003948443247867779,0.42144,0.0262703060429801
151,0.01652,0.0055374052716825,0.55408,0.027461171103347833,0.00796,0.003948443247867779,0.42144,0.0262703060429801
152,0.01684,0.005482290598288422,0.5492,0.02798833576287646,0.008960000000000001,0.003984459607945215,0.425,0.026227419831550497
153,0.01684,0.005482290598288422,0.5492,0.02798833576287646,0.008960000000000001,0.003984459607945215,0.425,0.026227419831550497
