"BehaviorSpace results (NetLogo 6.2.2)"
"../repro-seir-master/model/m2-seir.nlogo"
"experiment"
"04/14/2023 16:45:27:554 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","300","0","300"
"[run number]","pop-init","te-g","ti-g","infectionRadius-i","beta","tr-g","prop-infecte","[step]","propSuseptible","propExposed","propInfected","propRecovered"
"16","20000","3","7","1","0.5","365","0.1","14","0.98465","0.00805","0.005","0.0023"
"27","20000","3","7","1","0.5","365","0.1","9","0.995","0.0025","0.0024","1.0E-4"
"27","20000","3","7","1","0.5","365","0.1","10","0.99245","0.00415","0.00305","3.5E-4"
"19","20000","3","7","1","0.5","365","0.1","7","0.99705","0.00165","0.0013","0"
"19","20000","3","7","1","0.5","365","0.1","8","0.99515","0.0031","0.00145","3.0E-4"
"23","20000","3","7","1","0.5","365","0.1","17","0.9795","0.0091","0.0076","0.0038"
"23","20000","3","7","1","0.5","365","0.1","18","0.9715","0.01475","0.00915","0.0046"
"10","20000","3","7","1","0.5","365","0.1","7","0.9963","0.0021","0.00155","5.0E-5"
"10","20000","3","7","1","0.5","365","0.1","8","0.99475","0.00295","0.00215","1.5E-4"
"22","20000","3","7","1","0.5","365","0.1","11","0.99215","0.00335","0.00365","8.5E-4"
"22","20000","3","7","1","0.5","365","0.1","12","0.98835","0.0063","0.00405","0.0013"
"28","20000","3","7","1","0.5","365","0.1","15","0.9851","0.00585","0.00625","0.0028"
"28","20000","3","7","1","0.5","365","0.1","16","0.97905","0.0105","0.00675","0.0037"
"30","20000","3","7","1","0.5","365","0.1","11","0.9935","0.0024","0.0027","0.0014"
"30","20000","3","7","1","0.5","365","0.1","12","0.9909","0.00425","0.0032","0.00165"
"29","20000","3","7","1","0.5","365","0.1","9","0.9955","0.0023","0.0019","3.0E-4"
"29","20000","3","7","1","0.5","365","0.1","10","0.99375","0.00325","0.00235","6.5E-4"
"24","20000","3","7","1","0.5","365","0.1","7","0.997","0.00155","0.00135","1.0E-4"
"24","20000","3","7","1","0.5","365","0.1","8","0.9956","0.00245","0.0018","1.5E-4"
"20","20000","3","7","1","0.5","365","0.1","13","0.98925","0.0043","0.0046","0.00185"
"20","20000","3","7","1","0.5","365","0.1","14","0.985","0.00745","0.0055","0.00205"
"26","20000","3","7","1","0.5","365","0.1","9","0.9949","0.00235","0.0024","3.5E-4"
